date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
19-03-2015,255.880005,264.243988,248.636002,260.928009,52732000,34.17602176,45.34346748,-135.3081735,-172.8523386,250.8585221,261.1843826,250.9972188,255.3342527,6.301429589,278.1742523,15.607986,12.98749994,12.36480303,261.748993
20-03-2015,260.955994,264.847992,259.161987,261.748993,18456700,35.28145387,45.82013436,-74.03654772,-124.0497693,251.4232419,261.2075048,251.1333172,255.4942261,4.675678124,278.5485519,5.686005,11.94442387,11.88637443,260.024994
21-03-2015,261.644012,262.196014,255.649994,260.024994,17130100,33.88722811,44.93392916,-65.76426497,-117.7072216,252.0952417,261.1591621,251.2444632,255.6066388,3.211417013,278.5397019,6.54602,11.17321991,11.50390236,267.959991
22-03-2015,259.916992,269.747009,259.589996,267.959991,18438100,45.46045984,49.75116969,-22.39100358,-72.04542388,253.1051615,261.4367271,251.4508277,255.9116097,2.659460716,278.1542008,10.157013,11.02804695,11.40745757,266.73999
23-03-2015,267.894989,277.296997,261.744995,266.73999,22811900,44.0764595,49.04082343,22.10981749,-48.72069507,253.9005213,261.6528261,251.6372809,256.1776336,2.099552641,277.4061005,15.552002,11.67432834,11.70417755,245.595001
24-03-2015,266.576996,267.002991,244.154999,245.595001,40073700,27.28184179,38.72150541,-145.4088466,-110.6689513,254.0478412,260.9994982,251.5644824,255.9188801,-0.047189227,276.03125,22.847992,13.27057043,12.50186451,246.197006
25-03-2015,247.472,249.190002,236.514999,246.197006,35866900,28.19067397,39.1143183,-158.4961729,-130.1787275,254.4264212,260.398129,251.5005838,255.6822727,-1.680585923,274.5321999,12.675003,13.18548917,12.51425607,248.531998
26-03-2015,246.276001,254.354004,244.904999,248.531998,25730000,32.03448079,40.70208629,-70.97446323,-96.31920291,254.8600012,259.916732,251.4656593,255.5090377,-2.755116408,273.3226502,9.449005,12.65170463,12.29490644,247.029007
27-03-2015,248.565994,256.811005,245.212997,247.029007,17274900,30.79653855,39.97937713,-50.622309,-85.82986054,255.4583615,259.3945966,251.4140703,255.3044911,-3.68531567,271.8610512,11.598008,12.50117627,12.24504289,252.798004
28-03-2015,246.975006,254.205002,246.975006,252.798004,16040900,41.00556762,44.08345713,-28.14658864,-69.20364203,256.0690015,259.1276877,251.4299776,255.2442921,-3.912411228,270.7832512,7.229996,11.74814939,11.8862567,242.712997
29-03-2015,252.740005,253.139008,240.850006,242.712997,21699400,31.52164206,39.05584328,-78.05200638,-93.28473647,256.3681815,258.4643491,251.330921,254.9445882,-4.849385519,268.4385513,12.289002,11.82541415,11.91506662,247.526001
30-03-2015,242.878998,249.242004,239.214005,247.526001,23009600,39.3339258,42.43030789,-68.82716556,-87.70346242,256.8504614,258.0228444,251.2881691,254.767889,-5.144634935,266.2268509,10.027999,11.56864027,11.78009165,244.223999
31-03-2015,247.453995,248.729996,242.738998,244.223999,22672000,36.04275411,40.76274574,-52.75400051,-81.79362223,257.3327414,257.4665196,251.2096783,254.5177546,-5.580483377,263.6191009,5.990998,10.77183348,11.36605965,247.272003
01-04-2015,244.223007,247.541,241.160004,247.272003,22877200,41.3294954,42.99004922,-59.43187644,-73.1698594,257.8814014,257.0559618,251.1664072,254.3465339,-5.615411962,261.2650009,6.380996,10.14457048,11.00956368,253.005005
02-04-2015,247.089005,254.460999,245.416,253.005005,26272600,50.33770425,47.02472756,85.58440782,-15.32747712,258.5578015,256.8929922,251.1863919,254.3149538,-5.121799908,259.6484008,9.044999,9.98748873,10.86908395,254.322006
03-04-2015,253.074005,256.042999,251.878998,254.322006,23146600,52.30053534,47.936281,117.2141029,25.12502529,259.2089615,256.7896664,251.2201082,254.3151192,-4.571711644,258.2702506,4.164001,9.155561417,10.38966244,253.697006
04-04-2015,254.291,255.257996,251.100006,253.697006,12493500,51.18057663,47.51840313,87.91516894,23.85267268,259.5743615,256.6654959,251.2464582,254.3006755,-4.138453778,256.6354507,4.15799,8.441622279,9.944122709,260.597992
05-04-2015,253.761002,260.674988,251.942001,260.597992,19649200,61.7357811,52.44757038,116.0457866,99.75159844,259.6399011,256.8232385,251.3448954,254.4473046,-3.201678393,255.1357009,8.732987,8.483245829,9.857537176,255.492004
06-04-2015,260.721008,261.798004,254.574997,255.492004,20034200,52.02599179,48.79580922,85.31108172,127.5194191,260.0532412,256.7698871,251.3880944,254.4715453,-2.838334605,253.6350508,7.223007,8.303211643,9.66920327,253.179993
07-04-2015,255.274002,255.804993,252.205002,253.179993,18467400,48.03494302,47.19347276,11.95471117,60.83578273,260.4399811,256.62614,251.4065676,254.4416783,-2.705652862,253.4791,3.599991,7.631322764,9.235360452,245.022003
08-04-2015,253.063995,253.847,244.214996,245.022003,30086400,36.50637352,41.95791402,-158.0952619,-51.39719766,260.4682211,256.161869,251.341419,254.2245707,-3.221323813,252.6837997,9.632004,7.917134448,9.263712017,243.675995
09-04-2015,244.751007,246.117996,239.399994,243.675995,21643500,34.89430337,41.14682855,-155.0219878,-114.8346362,260.6152209,255.6627165,251.2639905,253.9822304,-3.695949041,251.7801498,6.718002,7.745829772,9.081757097,236.072006
10-04-2015,243.694,243.694,232.770996,236.072006,28882000,27.02801275,36.81692012,-133.6818587,-158.0744399,260.5310009,254.8801273,251.1120706,253.5720666,-4.632012305,250.5825004,10.923004,8.199711897,9.213354308,236.552002
11-04-2015,236.016006,239.537003,234.175003,236.552002,16365200,28.21970367,37.26569471,-99.15201552,-137.8830667,260.3864608,254.1485096,250.3351007,253.1834926,-5.27432633,249.0121009,5.362,7.794324413,8.93810302,236.153
12-04-2015,236.535004,237.727997,233.494995,236.153,12387900,27.77973695,37.03024067,-81.49956266,-126.4102979,260.2188409,253.4306732,249.5463106,252.7958545,-5.749269311,247.4827514,4.233002,7.285563992,8.601849056,224.587006
13-04-2015,235.949997,236.934998,221.996002,224.587006,31181800,18.18930504,30.9297367,-124.3105759,-165.5672214,259.9910409,252.2808814,248.9813606,252.1556757,-6.978185866,246.4323516,14.938996,8.378911561,9.054721666,219.158997
14-04-2015,224.759003,224.975998,216.322998,219.158997,31719000,15.2976911,28.5523829,-155.493842,-173.5232301,259.5963809,250.9614016,248.5310005,251.4090003,-8.294350023,245.0804512,8.653,8.418067057,9.026014356,223.832993
15-04-2015,219.072998,223.832993,218.649002,223.832993,22562000,26.96219989,33.30612899,-89.2821833,-126.3147045,259.2983407,249.8813556,248.0245905,250.7867472,-8.858254723,243.845501,5.183991,7.956056148,8.751469506,228.572998
16-04-2015,223.917007,229.671997,223.917007,228.572998,24805400,37.1951659,37.82411959,-24.99699697,-79.90918465,259.1204007,249.0335254,247.4484305,250.2868747,-8.821086263,242.9227005,5.839004,7.653620103,8.543355583,222.882004
17-04-2015,228.574997,228.906006,221.942001,222.882004,20429800,31.09313412,34.77792866,-44.30185363,-84.45163002,258.8495209,247.9935883,246.7338805,249.6718483,-9.145307132,241.4269005,6.964005,7.555103653,8.430504207,223.356003
18-04-2015,222.852997,224.315994,220.876007,223.356003,12939000,32.17436372,35.24569709,-50.96937928,-84.74601533,258.2400809,247.0143928,246.1339505,249.0828173,-9.257298418,240.4590508,3.439987,6.967229811,8.073919508,222.600006
